,Name,Position,Team,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
143,James Wiseman,C,Golden State Warriors,9603360.0,9166800.0,8730240.0,,,,,,,,,,,,,,,
144,Landry Shamet,SG,Phoenix Suns,9500000.0,3768342.0,2090040.0,1995120.0,1703649.0,,,,,,,,,,,,,
145,Malik Monk,SG,Sacramento Kings,9472219.0,1669178.0,5345687.0,4028400.0,3447480.0,3447480.0,,,,,,,,,,,,
146,Jalen Green,SG,Houston Rockets,9441840.0,8992200.0,,,,,,,,,,,,,,,,
147,Jakob Poeltl,C,San Antonio Spurs,9398148.0,8750000.0,8101852.0,3754886.0,2947320.0,2947320.0,2703960.0,,,,,,,,,,,
148,Grayson Allen,SG,Milwaukee Bucks,9350000.0,4054695.0,2545320.0,2429400.0,2074320.0,,,,,,,,,,,,,
149,Dario Saric,PF,Phoenix Suns,9240000.0,8510000.0,9250000.0,3481986.0,2526840.0,2526840.0,2318280.0,,,,,,,,,,,
150,Nerlens Noel,C,Detroit Pistons,9240000.0,8000000.0,5000000.0,1620564.0,1757429.0,4187599.0,4384490.0,3457800.0,3315120.0,3172320.0,,,,,,,,
151,Royce O'Neale,PF,Brooklyn Nets,9200000.0,8800000.0,8500000.0,1618520.0,1378242.0,815615.0,,,,,,,,,,,,
152,Kemba Walker,PG,Detroit Pistons,9165471.0,8729020.0,34379100.0,32742000.0,12000000.0,12000000.0,12000000.0,12000000.0,3272091.0,2568360.0,2568360.0,2356320.0,,,,,,
153,Monte Morris,PG,Washington Wizards,9125000.0,8449074.0,1588231.0,1588231.0,1349383.0,,,,,,,,,,,,,
154,Mason Plumlee,C,Charlotte Hornets,9080417.0,9248333.0,8000000.0,14041096.0,12917808.0,14041096.0,2328530.0,1415520.0,1357080.0,1298640.0,,,,,,,,
155,Alex Caruso,SG,Chicago Bulls,9030000.0,8650651.0,2750000.0,2750000.0,,,543471.0,,,,,,,,,,,
156,Maxi Kleber,PF,Dallas Mavericks,9000000.0,8975000.0,8325000.0,8000000.0,1378242.0,815615.0,,,,,,,,,,,,
